week,date,breaks,unit,assignment_0,assignment_1,assignment_2,assignment_3,assignment_n
1,Mon Aug 24,,Introduction: the end of the essay?,,Read this syllabus,,,
1,Wed Aug 26,,,,Read @HsuEndEssay2025 \[Sakai],Read @OftenHelpfulSometimes2025 \[Sakai],,
1,Fri Aug 28,,,,In-class writing workshop,,,
2,Mon Aug 31,,"Citations, reference management and note-taking",,Ask a chatbot “What are the benefits of reference managers for university students?”,"Read @ChicagoManualStyle2024, sections 13.1--5 (“Introduction to source citations”) and 13.13 (“Citation management tools”) \[Reserve\]",Watch @BradburnHowUseZotero2021,Install Zotero and Zotero Connector on your machine
2,Wed Sep 02,,,,In-class writing workshop: inserting citations in a Word file with Zotero,,,
2,Fri Sep 04,,,,Ask a chatbot “What are the advantages of the Zettelkasten method of note-taking for university students?”,"Read @BoothCraftResearch2024, sections 4.6--7 (“Taking Notes Systematically” and “Annotating Your Sources”) \[Reserve\]",Explore AlternativeTo’s list of [Free Note Taking Apps with support for Markdown](https://alternativeto.net/category/productivity/note-taking/?feature=markdown-support&license=free),
3,Mon Sep 07,Labor Day,,,,,,
3,Wed Sep 09,,,,Watch @RamakrishnanMITSloansRama2023,Read @Mollick15TimesUse2025,Read @MetzAIGettingMore2025,
3,Fri Sep 11,,,,In-class writing workshop: taking notes,,,
4,Mon Sep 14,,Markdown and version control,,Ask a chatbot “What are the advantages of Markdown over Microsoft Word or Google Docs for university students?”,Complete CommonMark’s [Markdown tutorial](https://commonmark.org/help/tutorial/),Read the [Markdown Guide](https://www.markdownguide.org/getting-started/) and experiment with the web-based Markdown editor [Dillinger](https://dillinger.io/),
4,Wed Sep 16,,,,Watch @CifuentesGoodbodyWhatsBibFile2017 and @CifuentesGoodbodyUsingPandocAcademic2017,Read [“Getting started with pandoc”](https://pandoc.org/getting-started.html) and install pandoc on your machine,Explore AlternativeTo’s list of [Free Text Editors with support for Markdown](https://alternativeto.net/category/productivity/text-editor/?feature=markdown-support&license=free),
4,Fri Sep 18,,,Note collection due,In-class writing workshop: writing and editing Markdown,,,
5,Mon Sep 21,,,,Ask a chatbot “What are the benefits of the git version control system for university students?”,Watch @KerrBriefIntroductionGit2024,"Read “About GitHub and Git,” “Creating an Account with GitHub” and “Hello World” in [Start Your Journey](https://docs.github.com/en/get-started/start-your-journey)",Create a free GitHub account
5,Wed Sep 23,,,,Watch @CoderCoderGitGitHubGitHub2022,Install [GitHub Desktop](https://docs.github.com/en/desktop),,
5,Fri Sep 25,,,,In-class writing workshop: editing Markdown in a git repository; adding Markdown document structure,,,
6,Mon Sep 28,,Essay revision in a plain text environment,,"Read @BoothCraftResearch2024, chap. 11 (“Revising and Organizing”) \[Reserve\]",In-class writing workshop: revising argument and paragraph structure,,
6,Wed Sep 30,,,,"Read *Craft of Research*, chap. 12 (“Incorporating Sources”)",In-class writing workshop: adding Markdown citation keys; revising citations,,
6,Fri Oct 02,,,,"Read *Craft of Research*, chap. 14 (“Introductions and Conclusions”)",In-class writing workshop: revising the introduction and conclusion,,
7,Mon Oct 05,Fall Break,,,,,,
7,Wed Oct 07,,,,"Read *Craft of Research*, chap. 15 (“Revising Style”)",In-class writing workshop: sentence style and clarity,,
7,Fri Oct 09,,,,"In-class writing workshop: last things (spelling, grammar, visual scan)",,,
8,Mon Oct 12,,Collaborative research and writing,Essay revision due,Read @WaltersFabricationErrorsBibliographic2023,,,
8,Wed Oct 14,,,,"Read *Craft of Research*, chap. 1 (“Asking Questions, Seeking Answers”)",Read @WeatherbyChatGPTBrokeTuring2023,,
8,Fri Oct 16,,,,"Read *Craft of Research*, chap. 2  (“From Questions to a Problem”)",In class workshop: crafting a research problem,,
9,Mon Oct 19,,,,"Read *Craft of Research*, chap. 3 (“Finding and Evaluating Sources”)",Explore [Connected Papers](https://www.connectedpapers.com/) and [Research Rabbit](https://www.researchrabbit.ai/),,
9,Wed Oct 21,,,,Library visit,,,
9,Fri Oct 23,,,Research proposal due,In-class workshop: research day,,,
10,Mon Oct 26,,,,"Read @PlatoGorgias1997, beginning to 466a \[Reserve\]",,,
10,Wed Oct 28,,,,continued,,,
10,Fri Oct 30,,,Classification of sources due,In-class workshop: note-taking,"Read @PlatoPhaedrus1997, 274b--277a \[Reserve\]",,
11,Mon Nov 02,,,,"Read *Craft of Research*, sections 4.3--4.5 (“Reading for a Problem,” “Reading for Arguments,” “Reading for Data and Support”)",,,
11,Wed Nov 04,,,,"Read *Craft of Research*, chap. 5 (“Making Good Arguments: An Overview”)",,,
11,Fri Nov 06,,,Note collection due,In-class workshop: drafting,,,
12,Mon Nov 09,,,,"Read *Craft of Research*, chap. 10 (“Planning and Drafting”)",,,
12,Wed Nov 11,,,,Read @BorgesPierreMenardAuthor2007 \[Sakai\],,,
12,Fri Nov 13,,,Claim due,In-class workshop: drafting,,,
13,Mon Nov 16,,,,"Read *Craft of Research*, chap. 6 (“Making Claims”) and chap. 7 (“Assembling Reasons and Evidence”)",,,
13,Wed Nov 18,,,,Read @BorgesLibraryBabel2007 \[Sakai\],,,
13,Fri Nov 20,,,,In-class workshop: drafting,,,
14,Mon Nov 23,,,Essay draft due,"Read *Craft of Research*, chap. 9 (“Acknowledgments and Responses”)",,,
14,Wed Nov 25,Thanksgiving break,,,,,,
14,Fri Nov 27,Thanksgiving break,,,,,,
15,Mon Nov 30,,,,"Read *Craft of Research*, chap. 16 (“Research Presentations”)",,,
15,Wed Dec 02,,,,In-class workshop: essay revision and presentation planning,,,
15,Fri Dec 04,,,,In-class workshop: essay revision and presentation planning,,,
