week,date,breaks,unit,assignment_0,assignment_1,assignment_2,assignment_3,assignment_n
1,Mon Aug 25,,Introduction: the end of the essay?,,Read this syllabus,,,
1,Wed Aug 27,,,,Read @HsuEndEssay2025 \[Sakai],Read @OftenHelpfulSometimes2025 \[Sakai],,
1,Fri Aug 29,,,,In-class writing workshop,,,
2,Mon Sep 01,Labor Day,,,,,,
2,Wed Sep 03,,Citation and reference management,,Ask a chatbot “What are the benefits of reference managers for university students?”,"Read @ChicagoManualStyle2024, sections 13.1--5 (“Introduction to source citations”) and 13.13 (“Citation management tools”) \[Reserve\]",Watch @BradburnHowUseZotero2021,Install Zotero and Zotero Connector on your machine
2,Fri Sep 05,,,,In-class writing workshop: inserting citations in a Word file with Zotero,,,
3,Mon Sep 08,,Note-taking and information management,,Ask a chatbot “What are the advantages of the Zettelkasten method of note-taking for university students?”,"Read @BoothCraftResearch2024, sections 4.6--7 (“Taking Notes Systematically” and “Annotating Your Sources”) \[Reserve\]",Explore AlternativeTo’s list of [Free Note Taking Apps with support for Markdown](https://alternativeto.net/category/productivity/note-taking/?feature=markdown-support&license=free),
3,Wed Sep 10,,,,Watch @RamakrishnanMITSloansRama2023,Read @Mollick15TimesUse2025,Read @MetzAIGettingMore2025,
3,Fri Sep 12,,,,In-class writing workshop: taking notes,,,
4,Mon Sep 15,,Writing in Markdown,,Ask a chatbot “What are the advantages of Markdown over Microsoft Word or Google Docs for university students?”,Complete CommonMark’s [Markdown tutorial](https://commonmark.org/help/tutorial/),Read the [Markdown Guide](https://www.markdownguide.org/getting-started/) and experiment with the web-based Markdown editor [Dillinger](https://dillinger.io/),
4,Wed Sep 17,,,,Watch @CifuentesGoodbodyWhatsBibFile2017 and @CifuentesGoodbodyUsingPandocAcademic2017,Read [“Getting started with pandoc”](https://pandoc.org/getting-started.html) and install pandoc on your machine,Explore AlternativeTo’s list of [Free Text Editors with support for Markdown](https://alternativeto.net/category/productivity/text-editor/?feature=markdown-support&license=free),
4,Fri Sep 19,,,Note collection due,In-class writing workshop: writing and editing Markdown,,,
5,Mon Sep 22,,Version control,,Ask a chatbot “What are the benefits of the git version control system for university students?”,Watch @KerrBriefIntroductionGit2024,"Read “About GitHub and Git,” “Creating an Account with GitHub” and “Hello World” in [Start Your Journey](https://docs.github.com/en/get-started/start-your-journey)",Create a free GitHub account
5,Wed Sep 24,,,,Watch @CoderCoderGitGitHubGitHub2022,Install [GitHub Desktop](https://docs.github.com/en/desktop),,
5,Fri Sep 26,,,,In-class writing workshop: editing Markdown in a git repository; adding Markdown document structure,,,
6,Mon Sep 29,,Essay revision in a plain text environment,,"Read @BoothCraftResearch2024, chap. 11 (“Revising and Organizing”) \[Reserve\]",In-class writing workshop: revising argument and paragraph structure,,
6,Wed Oct 01,,,,"Read *Craft of Research*, chap. 12 (“Incorporating Sources”)",In-class writing workshop: adding Markdown citation keys; revising citations,,
6,Fri Oct 03,,,,"Read *Craft of Research*, chap. 14 (“Introductions and Conclusions”)",In-class writing workshop: revising the introduction and conclusion,,
7,Mon Oct 06,Fall Break,,,,,,
7,Wed Oct 08,,,,"Read *Craft of Research*, chap. 15 (“Revising Style”)",In-class writing workshop: sentence style and clarity,,
7,Fri Oct 10,,,,"In-class writing workshop: last things (spelling, grammar, visual scan)",,,
8,Mon Oct 13,,Collaborative research and writing,Essay revision due,Read @WaltersFabricationErrorsBibliographic2023,,,
8,Wed Oct 15,,,,"Read *Craft of Research*, chap. 1 (“Asking Questions, Seeking Answers”)",Read @WeatherbyChatGPTBrokeTuring2023,,
8,Fri Oct 17,,,,"Read *Craft of Research*, chap. 2  (“From Questions to a Problem”)",In class workshop: crafting a research problem,,
9,Mon Oct 20,,,,"Read *Craft of Research*, chap. 3 (“Finding and Evaluating Sources”)",Explore [Connected Papers](https://www.connectedpapers.com/) and [Research Rabbit](https://www.researchrabbit.ai/),,
9,Wed Oct 22,,,,Library visit,,,
9,Fri Oct 24,,,Research proposal due,In-class workshop: research day,,,
10,Mon Oct 27,,,,Read @PlatoGorgias1997 (selection) \[Sakai\],,,
10,Wed Oct 29,,,,TBD,,,
10,Fri Oct 31,,,,In-class workshop: note-taking,,,
11,Mon Nov 03,,,,"Read *Craft of Research*, chap. 5 (“Making Good Arguments: An Overview”)",,,
11,Wed Nov 05,,,,Read @PlatoPhaedrus1997 (selection) \[Sakai\],,,
11,Fri Nov 07,,,Note collection due,In-class workshop: drafting,,,
12,Mon Nov 10,,,,"Read *Craft of Research*, chap. 10 (“Planning and Drafting”)",,,
12,Wed Nov 12,,,,Read @BorgesPierreMenardAuthor2007 \[Sakai\],,,
12,Fri Nov 14,,,,In-class workshop: drafting,,,
13,Mon Nov 17,,,,"Read *Craft of Research*, chap. 6 (“Making Claims”) and chap. 7 (“Assembling Reasons and Evidence”)",,,
13,Wed Nov 19,,,,Read @BorgesLibraryBabel2007 \[Sakai\],,,
13,Fri Nov 21,,,,In-class workshop: drafting,,,
14,Mon Nov 24,,,Essay draft due,"Read *Craft of Research*, chap. 9 (“Acknowledgments and Responses”)",,,
14,Wed Nov 26,Thanksgiving break,,,,,,
14,Fri Nov 28,Thanksgiving break,,,,,,
15,Mon Dec 01,,,,"Read *Craft of Research*, chap. 16 (“Research Presentations”)",,,
15,Wed Dec 03,,,,In-class workshop: essay revision and presentation planning,,,
15,Fri Dec 05,,,,In-class workshop: essay revision and presentation planning,,,
16,Th Dec 11,,,Final essay due; presentations,,,,
