week,date,breaks,unit,assignment_0,assignment_1,assignment_2,assignment_n
1,Mon Aug 25,,,,,,
1,Wed Aug 27,,,,,,
1,Fri Aug 29,,,,,,
2,Mon Sep 01,Labor Day,,,,,
2,Wed Sep 03,,,,,,
2,Fri Sep 05,,,,,,
3,Mon Sep 08,,,,,,
3,Wed Sep 10,,,,,,
3,Fri Sep 12,,,,,,
4,Mon Sep 15,,,,,,
4,Wed Sep 17,,,,,,
4,Fri Sep 19,,,,,,
5,Mon Sep 22,,,,,,
5,Wed Sep 24,,,,,,
5,Fri Sep 26,,,,,,
6,Mon Sep 29,,,,,,
6,Wed Oct 01,,,,,,
6,Fri Oct 03,,,,,,
7,Mon Oct 06,Fall Break,,,,,
7,Wed Oct 08,,,,,,
7,Fri Oct 10,,,,,,
8,Mon Oct 13,,,,,,
8,Wed Oct 15,,,,,,
8,Fri Oct 17,,,,,,
9,Mon Oct 20,,,,,,
9,Wed Oct 22,,,,,,
9,Fri Oct 24,,,,,,
10,Mon Oct 27,,,,,,
10,Wed Oct 29,,,,,,
10,Fri Oct 31,,,,,,
11,Mon Nov 03,,,,,,
11,Wed Nov 05,,,,,,
11,Fri Nov 07,,,,,,
12,Mon Nov 10,,,,,,
12,Wed Nov 12,,,,,,
12,Fri Nov 14,,,,,,
13,Mon Nov 17,,,,,,
13,Wed Nov 19,,,,,,
13,Fri Nov 21,,,,,,
14,Mon Nov 24,,,,,,
14,Wed Nov 26,Thanksgiving break,,,,,
14,Fri Nov 28,Thanksgiving break,,,,,
15,Mon Dec 01,,,,,,
15,Wed Dec 03,,,,,,
15,Fri Dec 05,,,,,,
