week,date,breaks,unit,assignment_0,assignment_1,assignment_2,assignment_n
1,Tue Aug 25,,,,,,
1,Thu Aug 27,,,,,,
2,Tue Sep 01,,,,,,
2,Thu Sep 03,,,,,,
3,Tue Sep 08,,,,,,
3,Thu Sep 10,,,,,,
4,Tue Sep 15,,,,,,
4,Thu Sep 17,,,,,,
5,Tue Sep 22,,,,,,
5,Thu Sep 24,,,,,,
6,Tue Sep 29,,,,,,
6,Thu Oct 01,,,,,,
7,Tue Oct 06,Mid-semester break,,,,,
7,Thu Oct 08,,,,,,
8,Tue Oct 13,,,,,,
8,Thu Oct 15,,,,,,
9,Tue Oct 20,,,,,,
9,Thu Oct 22,,,,,,
10,Tue Oct 27,,,,,,
10,Thu Oct 29,,,,,,
11,Tue Nov 03,,,,,,
11,Thu Nov 05,,,,,,
12,Tue Nov 10,,,,,,
12,Thu Nov 12,,,,,,
13,Tue Nov 17,,,,,,
13,Thu Nov 19,,,,,,
14,Tue Nov 24,,,,,,
14,Thu Nov 26,Thanksgiving break,,,,,
15,Tue Dec 01,,,,,,
15,Thu Dec 03,,,,,,
